link,winner,date,teamA_winrate,teamA_winstreak,teamA_avg_round_diff,teamA_matches_used,teamA_recent5_winrate,teamA_recent5_winstreak,teamA_recent5_avg_round_diff,teamA_recent5_matches_used,teamB_winrate,teamB_winstreak,teamB_avg_round_diff,teamB_matches_used,teamB_recent5_winrate,teamB_recent5_winstreak,teamB_recent5_avg_round_diff,teamB_recent5_matches_used,diff_winrate,diff_avg_round_diff,diff_winstreak,diff_recent5_winrate,diff_recent5_avg_round_diff,diff_recent5_winstreak
https://www.vlr.gg/542196/giantx-vs-sentinels-valorant-champions-2025-opening-a,0,2025-09-12 11:25:00,0.6,0,0.2,10,0.6,0,0.4,5,0.7,0,0.5,10,0.6,0,0.0,5,-0.1,-0.3,0,0.0,0.4,0
https://www.vlr.gg/542195/paper-rex-vs-xi-lai-gaming-valorant-champions-2025-opening-a,0,2025-09-12 09:00:00,0.7,4,0.9,10,0.8,4,1.2,5,0.4,0,-0.1,10,0.2,0,-1.0,5,0.3,1.0,4,0.6,2.2,4
https://www.vlr.gg/534750/stellae-gaming-gc-vs-n-o-estamos-aqui-game-changers-2025-brazil-finals-lr1,0,2025-09-10 18:15:00,0.4,0,-0.5,10,0.6,0,-0.2,5,0.714,0,0.857,7,0.6,0,0.4,5,-0.314,-1.357,0,0.0,-0.6,0
https://www.vlr.gg/524954/akave-esports-gc-vs-myvra-gc-game-changers-2025-latam-main-event-gf,0,2025-09-10 18:00:00,1.0,10,1.7,10,1.0,5,1.6,5,0.7,1,0.7,10,0.6,1,0.4,5,0.3,1.0,9,0.4,1.2,4
https://www.vlr.gg/534749/paintress-vs-corinthians-esports-inclusivo-game-changers-2025-brazil-finals-lr1,1,2025-09-10 16:00:00,0.625,0,0.625,8,0.4,0,0.0,5,0.4,0,-0.4,10,0.4,0,-0.8,5,0.225,1.025,0,0.0,0.8,0
https://www.vlr.gg/534744/2game-esports-gc-vs-n-o-estamos-aqui-game-changers-2025-brazil-finals-ubqf,0,2025-09-09 17:50:00,0.6,0,0.1,10,0.4,0,-0.6,5,0.833,0,1.333,6,0.8,0,1.2,5,-0.233,-1.233,0,-0.4,-1.8,0
https://www.vlr.gg/534741/team-liquid-brazil-vs-stellae-gaming-gc-game-changers-2025-brazil-finals-ubqf,0,2025-09-09 16:00:00,0.9,0,1.7,10,0.8,0,1.2,5,0.4,2,-0.5,10,0.6,2,-0.2,5,0.5,2.2,-2,0.2,1.4,-2
https://www.vlr.gg/524943/leviat-n-gc-vs-kr-blaze-game-changers-2025-latam-main-event-gf,1,2025-09-09 15:00:00,0.9,5,1.5,10,1.0,5,2.0,5,0.7,1,0.8,10,0.6,1,0.8,5,0.2,0.7,4,0.4,1.2,4
https://www.vlr.gg/535406/dnsty-vs-ulf-esports-challengers-2025-emea-stage-3-gf,1,2025-09-09 11:00:00,0.9,6,1.2,10,1.0,5,1.2,5,0.7,1,0.7,10,0.8,1,1.2,5,0.2,0.5,5,0.2,0.0,4
https://www.vlr.gg/538772/empire-3-vs-tenax-gc-game-changers-2025-north-america-stage-2-r6-3-2-vs-2-3,0,2025-09-08 20:30:00,0.5,1,-0.2,10,0.6,1,0.2,5,0.4,0,-0.5,10,0.4,0,-0.6,5,0.1,0.3,1,0.2,0.8,1
https://www.vlr.gg/538771/blue-otter-gc-vs-ydz-black-game-changers-2025-north-america-stage-2-r6-2-3,0,2025-09-08 20:00:00,0.7,0,0.6,10,0.4,0,-0.6,5,0.6,1,0.5,10,0.4,1,-0.2,5,0.1,0.1,-1,0.0,-0.4,-1
https://www.vlr.gg/538773/mak-n-cheese-vs-game-changers-2025-north-america-stage-2-r6-2-3,1,2025-09-08 20:00:00,0.7,0,0.3,10,0.4,0,-0.6,5,0.6,2,0.2,10,0.4,2,-0.6,5,0.1,0.1,-2,0.0,0.0,-2
https://www.vlr.gg/534742/corinthians-esports-inclusivo-vs-tbs-esports-gc-game-changers-2025-brazil-finals-ubqf,1,2025-09-08 19:00:00,0.4,0,-0.4,10,0.4,0,-0.6,5,0.6,3,0.5,10,0.6,3,0.8,5,-0.2,-0.9,-3,-0.2,-1.4,-3
https://www.vlr.gg/538769/100-thieves-gc-vs-flyquest-red-game-changers-2025-north-america-stage-2-r6-3-2,0,2025-09-08 17:00:00,0.4,0,-0.4,10,0.6,0,0.4,5,0.4,1,-0.3,10,0.6,1,0.6,5,0.0,-0.1,-1,0.0,-0.2,-1
https://www.vlr.gg/538770/ghost-gaming-vs-hakikimori-gc-game-changers-2025-north-america-stage-2-r6-3-2,0,2025-09-08 17:00:00,0.6,0,0.0,10,0.6,0,0.2,5,0.8,2,0.9,10,0.6,2,0.0,5,-0.2,-0.9,-2,0.0,0.2,-2
https://www.vlr.gg/534743/mibr-gc-vs-paintress-game-changers-2025-brazil-finals-ubqf,0,2025-09-08 16:00:00,0.7,3,0.9,10,0.8,3,1.4,5,0.714,0,1.0,7,0.6,0,0.8,5,-0.014,-0.1,3,0.2,0.6,3
https://www.vlr.gg/535405/ulf-esports-vs-mandatory-challengers-2025-emea-stage-3-lbf,0,2025-09-08 11:00:00,0.6,0,0.3,10,0.8,0,0.8,5,0.5,1,0.0,10,0.4,1,-0.4,5,0.1,0.3,-1,0.4,1.2,-1
https://www.vlr.gg/543782/red-canids-vs-team-solid-challengers-2025-brazil-gamers-club-last-chance-qualifier-gf,1,2025-09-07 16:00:00,0.6,2,0.3,10,0.8,2,1.0,5,0.7,1,0.4,10,0.6,1,0.0,5,-0.1,-0.1,1,0.2,1.0,1
https://www.vlr.gg/544548/alliance-guardians-vs-burger-boyz-challengers-2025-north-america-ace-stage-3-pm,0,2025-09-07 16:00:00,0.7,0,0.6,10,0.6,0,0.4,5,0.6,0,0.4,10,0.6,0,0.0,5,0.1,0.2,0,0.0,0.4,0
https://www.vlr.gg/544549/team-slatt-vs-sad-esports-challengers-2025-north-america-ace-stage-3-pm,1,2025-09-07 16:00:00,0.778,0,0.778,9,0.6,0,0.4,5,0.6,3,0.3,10,0.6,3,0.2,5,0.178,0.478,-3,0.0,0.2,-3
https://www.vlr.gg/532277/shinden-vs-six-karma-challengers-2025-latin-america-finals-decider,0,2025-09-07 15:00:00,0.6,0,0.5,10,0.6,0,0.8,5,0.7,1,0.8,10,0.6,1,0.4,5,-0.1,-0.3,-1,0.0,0.4,-1
https://www.vlr.gg/535404/dnsty-vs-ulf-esports-challengers-2025-emea-stage-3-ubf,0,2025-09-07 14:00:00,0.9,5,1.2,10,1.0,5,1.6,5,0.7,4,0.6,10,0.8,4,0.4,5,0.2,0.6,1,0.2,1.2,1
https://www.vlr.gg/535403/mandatory-vs-twisted-minds-challengers-2025-emea-stage-3-lr1,0,2025-09-07 11:00:00,0.5,0,0.1,10,0.4,0,-0.4,5,0.8,0,1.4,10,0.8,0,1.4,5,-0.3,-1.3,0,-0.4,-1.8,0
https://www.vlr.gg/521247/motiv-esports-vs-full-sense-challengers-2025-southeast-asia-split-3-gf,0,2025-09-07 07:00:00,0.8,3,1.1,10,0.6,3,0.4,5,0.6,2,0.4,10,0.8,2,0.8,5,0.2,0.7,1,-0.2,-0.4,1
https://www.vlr.gg/538575/titan-esports-club-vs-jdg-esports-china-evolution-series-act-3-gf,1,2025-09-07 05:00:00,0.5,5,0.0,10,1.0,5,1.4,5,0.4,3,-0.2,10,0.6,3,0.4,5,0.1,0.2,2,0.4,1.0,2
https://www.vlr.gg/543173/shopify-rebellion-gold-vs-prosperity-esports-challengers-2025-north-america-ace-stage-3-r3,1,2025-09-06 19:10:00,0.6,0,0.5,10,0.4,0,-0.2,5,0.4,0,-0.1,10,0.4,0,0.0,5,0.2,0.6,0,0.0,-0.2,0
https://www.vlr.gg/532275/9z-team-vs-shinden-challengers-2025-latin-america-finals-winners,0,2025-09-06 19:00:00,0.5,1,-0.2,10,0.4,1,-0.8,5,0.6,1,0.5,10,0.6,1,0.8,5,-0.1,-0.7,0,-0.2,-1.6,0
https://www.vlr.gg/531690/team-solid-vs-los-grandes-challengers-2025-brazil-gamers-club-last-chance-qualifier-lf,0,2025-09-06 16:00:00,0.7,0,0.5,10,0.4,0,-0.6,5,0.7,1,0.6,10,0.4,1,-0.2,5,0.0,-0.1,-1,0.0,-0.4,-1
https://www.vlr.gg/543172/sad-esports-vs-burger-boyz-challengers-2025-north-america-ace-stage-3-r3,0,2025-09-06 16:00:00,0.6,2,0.3,10,0.6,2,0.4,5,0.7,2,0.7,10,0.8,2,0.6,5,-0.1,-0.4,0,-0.2,-0.2,0
https://www.vlr.gg/532276/e-xolos-lazer-vs-six-karma-challengers-2025-latin-america-finals-elim,1,2025-09-06 14:00:00,0.8,0,1.2,10,0.6,0,0.8,5,0.7,0,0.8,10,0.6,0,0.4,5,0.1,0.4,0,0.0,0.4,0
https://www.vlr.gg/535402/twisted-minds-vs-ulf-esports-challengers-2025-emea-stage-3-ubsf,1,2025-09-06 14:00:00,0.9,6,1.6,10,1.0,5,2.0,5,0.7,3,0.7,10,0.8,3,0.8,5,0.2,0.9,3,0.2,1.2,2
https://www.vlr.gg/535401/mandatory-vs-dnsty-challengers-2025-emea-stage-3-ubsf,1,2025-09-06 11:00:00,0.6,0,0.4,10,0.6,0,0.0,5,0.8,4,1.0,10,0.8,4,1.0,5,-0.2,-0.6,-4,-0.2,-1.0,-4
https://www.vlr.gg/521249/naos-vs-full-sense-challengers-2025-southeast-asia-split-3-lbf,1,2025-09-06 07:00:00,0.7,0,0.6,10,0.8,0,1.0,5,0.5,1,0.0,10,0.8,1,0.8,5,0.2,0.6,-1,0.0,0.2,-1
https://www.vlr.gg/538576/funplus-phoenix-vs-wolves-esports-china-evolution-series-act-3-cf,1,2025-09-06 05:00:00,0.5,0,-0.2,10,0.2,0,-1.0,5,0.3,0,-0.9,10,0.6,0,0.2,5,0.2,0.7,0,-0.4,-1.2,0
https://www.vlr.gg/528187/fearx-vs-slt-seongnam-challengers-2025-korea-wdg-road-to-ascension-gf,1,2025-09-06 04:00:00,0.6,1,0.3,10,0.6,1,0.2,5,0.6,1,0.4,10,0.4,1,-0.6,5,0.0,-0.1,0,0.2,0.8,0
https://www.vlr.gg/531688/team-solid-vs-red-canids-challengers-2025-brazil-gamers-club-last-chance-qualifier-ubf,1,2025-09-05 19:00:00,0.7,1,0.4,10,0.6,1,-0.2,5,0.6,1,0.4,10,0.6,1,0.4,5,0.1,0.0,0,0.0,-0.6,0
https://www.vlr.gg/543171/sad-esports-vs-prosperity-esports-challengers-2025-north-america-ace-stage-3-r2,0,2025-09-05 19:00:00,0.6,1,0.3,10,0.4,1,0.0,5,0.5,0,0.2,10,0.4,0,-0.2,5,0.1,0.1,1,0.0,0.2,1
https://www.vlr.gg/532274/shinden-vs-six-karma-challengers-2025-latin-america-finals-opening,0,2025-09-05 18:25:00,0.6,0,0.5,10,0.4,0,0.2,5,0.8,0,1.2,10,0.8,0,1.2,5,-0.2,-0.7,0,-0.4,-1.0,0
https://www.vlr.gg/531689/los-grandes-vs-corinthians-esports-challengers-2025-brazil-gamers-club-last-chance-qualifier-lr1,0,2025-09-05 16:00:00,0.6,0,0.3,10,0.4,0,-0.4,5,0.6,0,0.4,10,0.2,0,-0.8,5,0.0,-0.1,0,0.2,0.4,0
https://www.vlr.gg/543170/shopify-rebellion-gold-vs-burger-boyz-challengers-2025-north-america-ace-stage-3-r2,1,2025-09-05 16:00:00,0.7,0,0.8,10,0.6,0,0.4,5,0.7,1,0.8,10,0.6,1,0.2,5,0.0,0.0,-1,0.0,0.2,-1
https://www.vlr.gg/532273/e-xolos-lazer-vs-9z-team-challengers-2025-latin-america-finals-opening,1,2025-09-05 15:00:00,0.9,2,1.5,10,0.8,2,1.2,5,0.5,0,-0.2,10,0.2,0,-1.4,5,0.4,1.7,2,0.6,2.6,2
https://www.vlr.gg/538442/ulf-esports-vs-d-ti-ulice-challengers-2025-emea-stage-3-group-stage-d5,0,2025-09-05 13:10:00,0.7,2,0.7,10,0.6,2,0.4,5,0.5,0,-0.1,10,0.2,0,-1.0,5,0.2,0.8,2,0.4,1.4,2
